,final_average_ratings
179,-0.42857142857142855
315,-4.5
310,-5.142857142857143
410,-6.0
467,-3.75
463,-1.0
472,-3.7333333333333334
512,-1.75
594,-2.25
672,-4.666666666666667
766,-10.0
423,-0.2857142857142857
566,-0.2222222222222222
726,-1.7142857142857142
787,-7.0
804,-0.6666666666666666
805,-4.5
895,-1.0
906,-7.666666666666667
957,-5.666666666666667
984,-10.0
958,-0.5
1074,-7.0
1099,-10.0
1116,-4.5
1139,-2.8333333333333335
1143,-5.0
1145,-5.166666666666667
1211,-10.0
1277,0.09090909090909091
713,-10.0
260,-1.6666666666666667
824,-3.75
1140,-1.0
1308,-10.0
1329,-10.0
1327,-3.3333333333333335
1144,-3.0
1142,-2.0
1141,-3.5
1387,-10.0
1393,-6.5
1443,-7.0
44,-2.6666666666666665
1572,-10.0
1600,0.0
1609,-6.333333333333333
1705,-10.0
1739,-1.0
1756,-10.0
1662,-0.5
1671,-10.0
1357,-2.4
1510,-0.6
1753,-2.5384615384615383
1853,-10.0
1862,-10.0
832,-0.31521739130434784
1917,-7.25
1956,-8.571428571428571
1783,-1.0
2002,-3.25
2008,-2.0
2065,-2.6666666666666665
2096,-5.25
1792,-3.1818181818181817
1984,-1.25
2089,-1.0
2115,-2.25
2148,-2.3333333333333335
2209,-10.0
2223,-1.0
2225,-10.0
2239,-10.0
61,-0.5555555555555556
1719,-2.8
1955,-0.6666666666666666
2211,-1.5
2245,-4.5
2251,-1.6
2260,-1.75
2252,1.5185185185185186
2261,-1.6
2276,-1.0
2338,-9.0
2090,-2.65
2102,-1.2
2265,-2.6666666666666665
2367,-7.0
2370,1.8
2434,-4.166666666666667
2410,-2.75
2439,-2.0
2471,-4.0
2480,-4.25
2499,0.0
2498,-5.688888888888889
2505,-4.714285714285714
2516,-5.8
1383,-2.4166666666666665
2017,-5.088888888888889
2208,-1.125
2293,-2.909090909090909
2517,0.0
2514,-4.6
2532,-4.666666666666667
2539,-5.333333333333333
2540,-2.5833333333333335
2541,-3.3333333333333335
2542,-2.3333333333333335
2543,-0.6666666666666666
2544,-1.3333333333333333
2545,-2.0
2546,0.0
2548,-2.6666666666666665
2549,-4.666666666666667
2522,-2.0
2561,-4.5
2566,-1.5
2567,-2.2
2568,-1.8571428571428572
2569,-2.8333333333333335
2570,-0.6
2572,-6.333333333333333
2573,-7.25
2585,-2.142857142857143
2592,-3.2
2597,-6.333333333333333
2598,-6.333333333333333
2601,-2.2
2602,-3.25
2603,-5.0
2604,-1.0
2606,-2.6666666666666665
2530,-10.0
2617,-10.0
2619,-10.0
2621,-2.2
2622,-1.75
2623,-2.6
2632,-2.25
2639,-3.2
2640,-5.333333333333333
2648,-1.0
2657,-5.8
2660,-4.5
2666,-3.6
2669,-3.8
2670,-3.0
2671,-2.2
2673,-2.0
2680,-3.3333333333333335
2682,-2.2857142857142856
2684,-3.3333333333333335
2694,-3.75
2697,-4.5
2698,-4.5
2699,-5.666666666666667
2701,-4.571428571428571
2702,-3.857142857142857
2703,-6.25
2704,-4.6
2705,-7.25
2706,-10.0
2707,-10.0
2708,-10.0
2709,-10.0
2712,-5.2
2717,-3.5
2718,-6.333333333333333
1293,-4.5
1331,-2.25
1543,-0.5294117647058824
2571,-1.0
2581,-7.8
2574,-1.6666666666666667
2629,-1.1666666666666667
2628,-1.1428571428571428
2631,-1.5
2636,0.25
2672,-1.4444444444444444
2633,2.5
2674,-0.6666666666666666
2675,-1.6666666666666667
2677,-3.5
2676,-2.3333333333333335
2678,-7.0
2683,0.0
2689,-2.0
2690,-7.0
2695,-3.5
2700,-2.2222222222222223
2720,-7.25
2721,-3.8
2722,-10.0
2714,-6.0
2735,-1.3333333333333333
2736,-4.0
2737,-4.25
2738,-6.0
2741,-6.333333333333333
2743,-10.0
2744,-3.0
2745,-3.5
2746,-2.0
2747,-6.333333333333333
2749,-1.3333333333333333
2752,-0.6666666666666666
2753,-10.0
2757,-2.8333333333333335
2766,-4.5
2787,-3.6666666666666665
2778,-6.222222222222222
2811,-6.333333333333333
2863,-10.0
2868,-2.75
2879,-7.8
2881,-8.166666666666666
2886,-5.0
2887,-10.0
75,-0.6
2788,-0.3333333333333333
2866,-0.3333333333333333
2921,-1.0
2919,-4.5
2926,-10.0
2935,-1.0
2970,-10.0
2974,-9.0
2996,-10.0
3003,0.7142857142857143
3015,-4.5
3019,-8.333333333333334
3022,-10.0
3025,-0.5
3059,-8.333333333333334
3071,-1.0
642,-0.2222222222222222
2093,-0.42857142857142855
2275,-0.6666666666666666
2343,-4.333333333333333
2503,-6.333333333333333
2772,-2.6666666666666665
2823,-0.5
2918,-1.0
2962,-0.06666666666666667
2992,-5.0
3027,-4.166666666666667
2815,-4.0
3108,-10.0
3109,-10.0
3116,-1.0
3144,-10.0
3159,-10.0
3167,-10.0
3182,-1.2
3193,-4.4
3210,-4.0
3061,-10.0
3232,-1.0
2363,0.5
2661,-0.2222222222222222
3197,-1.7
3062,0.8333333333333334
3273,-3.8
3259,-1.75
3287,-6.333333333333333
3299,-4.0
3314,-7.625
3333,-6.428571428571429
3341,-0.875
3066,-4.0
3371,-10.0
3372,-10.0
3373,-6.5
3378,-6.0
3384,-6.5
3376,-5.5
3399,-4.5
3403,-2.0
3409,-10.0
870,-2.8333333333333335
3036,-0.875
3410,-3.3333333333333335
3431,-5.0
3432,-5.0
3436,-6.5
3473,-10.0
3472,-10.0
3498,-10.0
3553,-2.5
3554,-2.5
3556,-2.5
3557,-2.5
3558,-2.5
2898,-0.6666666666666666
3463,-1.8333333333333333
3466,-5.75
3515,-2.6666666666666665
3555,0.0
3560,-10.0
3562,-0.75
3563,0.0
3564,0.0
3565,0.0
3566,-1.0
3567,-1.0
3569,-1.0
3570,-2.5
3516,-5.0
3619,-10.0
3665,-10.0
3672,-1.0
3744,-8.333333333333334
3756,-6.190476190476191
3757,-6.190476190476191
3759,-7.5
3760,-8.823529411764707
3786,-10.0
3787,-10.0
3789,-10.0
3795,-10.0
3794,-10.0
3793,-10.0
3792,-10.0
3791,-10.0
3790,-10.0
3788,-10.0
3785,-10.0
3812,-1.0
733,0.0
1198,-0.9
2405,-0.5714285714285714
3552,6.5
3797,-0.8181818181818182
3889,-1.0
3920,-8.0
3866,-10.0
3993,-10.0
4008,-6.333333333333333
4081,-10.0
4100,-10.0
4110,-4.5
4138,-10.0
4182,-10.0
1809,-0.4
2726,-0.42857142857142855
2897,-0.4084507042253521
3449,-1.75
4251,-1.8333333333333333
4275,-10.0
4290,-3.6666666666666665
4324,-1.0
4326,-7.5
4344,-10.0
786,-0.125
1750,-3.5
3233,-0.2
4184,-0.8333333333333334
4279,-3.4545454545454546
4350,-6.928571428571429
4375,-1.5
4383,-4.5
4404,-10.0
4405,-2.6666666666666665
4410,-1.0
4432,-6.333333333333333
4438,-10.0
4443,-10.0
4492,-10.0
2801,-4.5
2877,-0.6
3258,-3.5
4084,-1.8888888888888888
3711,-8.0
4406,-1.25
4413,-4.5
4450,-2.0
4501,-6.5
4502,-10.0
4517,-1.0
4531,-9.2
4535,-10.0
4543,-2.0
4544,-10.0
4545,-4.5
4550,-1.0
4556,-8.75
4560,-10.0
4563,-1.75
4567,-1.0
4571,-1.75
4574,-4.5
4592,-1.8333333333333333
4587,-6.333333333333333
4597,-2.6666666666666665
4603,-4.5
4609,-4.25
4613,-4.5
4614,-4.5
4621,-4.5
4625,-0.8333333333333334
4627,-10.0
1815,-1.25
2045,0.0703125
2322,0.6451612903225806
2424,-2.25
3267,-0.5
3841,-1.6
3857,-7.25
3897,-0.359375
4038,-0.3548387096774194
4075,-2.8333333333333335
4421,-1.8
4427,-6.333333333333333
4478,-0.4
4458,-3.888888888888889
4527,-4.5
4546,-1.5
4622,-2.6666666666666665
4635,-1.3734939759036144
4637,-7.25
4645,-7.461538461538462
4647,-4.5
4654,-7.44
4655,-4.5
4656,-6.333333333333333
4659,-4.0
4661,-7.571428571428571
4666,-7.714285714285714
4667,-5.5
4668,-8.75
4669,-8.75
4672,-9.38888888888889
4673,-6.708333333333333
4675,-7.0
4676,-8.263157894736842
4677,-8.705882352941176
4678,-7.8
4680,-7.904761904761905
4679,-7.904761904761905
4681,-8.0
4682,-7.8
4683,-4.636363636363637
4684,-6.7
4686,-6.68
4687,-6.333333333333333
4688,-6.6521739130434785
4694,0.5125
4697,-0.3333333333333333
4698,-4.2
4701,-8.705882352941176
4704,-10.0
4706,-10.0
4707,-3.515151515151515
4729,-10.0
4731,-1.75
4732,-0.9
4735,-0.8
4736,-4.5
4737,-10.0
4739,-10.0
4741,-4.333333333333333
4742,-4.666666666666667
4743,-8.625
4744,-9.421052631578947
4746,-3.727272727272727
4745,-4.5
4747,-10.0
4748,-6.142857142857143
4751,-10.0
4756,-0.4
4766,-10.0
4775,-4.5
4776,-4.5
4789,-4.5
4793,-10.0
4777,-4.5
4796,-4.5
4804,-4.5
4802,-4.0
4733,-3.0689655172413794
4791,-2.0
4795,-0.5
4814,-3.4
4818,-4.5
4831,-10.0
4835,-4.333333333333333
4843,-10.0
4844,-1.625
4853,-8.5
4857,0.0
4858,-3.0
4868,-8.0
4871,-4.5
4870,-8.714285714285714
4883,-1.5
3531,-0.875
4524,-2.0
4566,-3.3333333333333335
4740,-2.6666666666666665
4898,-2.0
4901,-10.0
4888,-1.0
4907,0.16666666666666666
4909,-1.0
4910,-1.0
4911,-1.0
4912,-1.0
4913,-1.0
4914,-1.0
4919,-2.6666666666666665
1535,-5.6
3270,-0.625
3660,-1.25
4330,-0.8333333333333334
4528,-4.5
4708,-5.75
4890,-1.0476190476190477
4926,0.0
4934,-2.3333333333333335
4965,-1.75
4966,-4.5
4967,-6.333333333333333
4980,-1.75
4977,-10.0
4986,-1.8571428571428572
4996,-1.2
5007,-2.6666666666666665
4988,-0.5
5021,-4.6
5027,-4.375
5037,-4.0
5036,-10.0
5051,-10.0
5062,-8.0
5063,-1.5
5066,-6.5
5067,-1.0
5068,-0.5
5069,-0.125
5070,-0.375
5072,-1.2857142857142858
5077,-5.0
5081,-5.5
5082,-1.0
5096,-4.5
5100,-1.0
204,-0.7741935483870968
574,-3.5
3743,-0.6666666666666666
4434,-0.5384615384615384
4899,-1.3076923076923077
5071,0.375
5076,-2.6666666666666665
5080,-2.25
5086,0.6
5106,-10.0
5108,-10.0
5109,-10.0
5110,-10.0
5111,-10.0
5112,-10.0
5113,-10.0
5083,-10.0
5115,-5.0
5118,-2.0
5129,-5.0
5147,-10.0
5148,-10.0
5149,-9.666666666666666
5150,-10.0
5152,-10.0
5153,-10.0
5154,-10.0
5159,-10.0
5160,-10.0
5161,-10.0
5166,-10.0
5167,-10.0
5168,-10.0
5170,-10.0
5171,-10.0
5164,-10.0
5172,-10.0
5173,-10.0
5174,-10.0
5169,-10.0
5116,-10.0
5114,-10.0
5107,-10.0
5176,-10.0
5177,-10.0
5181,-10.0
5182,-10.0
5185,-10.0
5186,-0.8333333333333334
5189,-10.0
5190,-10.0
5191,-10.0
5192,-3.25
5195,-3.5
5196,-10.0
5193,-7.555555555555555
5197,-7.25
5198,-6.857142857142857
5199,-10.0
5200,-6.666666666666667
5201,-6.0
5202,-6.0
5203,-6.0
5204,-5.0
5205,-10.0
5207,-10.0
5209,-10.0
5210,-10.0
5213,-3.25
5214,-10.0
5215,-2.5
5216,-3.6666666666666665
5217,-5.75
5220,-1.0
5222,-10.0
5223,-10.0
5225,-10.0
5228,0.42857142857142855
5230,-10.0
5231,-1.7777777777777777
5232,-2.0
5233,-2.0
5235,-6.0
5237,-0.4
5238,-10.0
5239,-3.0
5240,-0.6666666666666666
5243,-5.5
3776,-1.6
5188,-10.0
5262,-2.0
5270,-6.0
5273,-2.0
5276,-2.0
5277,-1.0
5281,-2.0
5285,-6.0
5288,-2.0
5289,-2.0
5291,-2.0
5295,-2.0
5300,-5.0
5301,-2.0
5303,-2.0
5304,-10.0
5305,-2.6666666666666665
5313,-2.0
5314,-2.0
5319,-2.0
5320,-2.0
5323,-1.0
5324,-1.0
5325,-1.0
5326,-2.0
5327,-2.0
5328,-2.0
5329,-2.0
5330,-2.0
5331,-2.0
5332,-2.0
5333,-2.0
5334,-2.0
5335,-1.0
5336,-2.0
5337,-2.0
5338,-6.0
5340,-2.0
5341,-2.0
5342,-2.0
5343,-1.0
5344,-2.0
5346,-4.333333333333333
5349,-2.0
5350,-2.0
4599,-0.125
4812,-4.5
5312,-1.4285714285714286
5354,-2.0
5357,-2.0
5361,-2.0
5364,-10.0
5367,-4.0
5369,-2.0
5370,-10.0
5371,-10.0
5373,-5.5
5374,-5.5
5375,-5.5
5376,-5.5
5377,-5.5
5378,-5.5
5379,-5.5
5380,-5.5
5381,-5.5
5382,-5.5
5384,-0.75
5385,-1.0
5388,-1.0
5386,-1.0
5387,-1.0
5389,-1.0
5391,-2.0
5392,-2.0
5394,-1.0
5395,-5.5
5396,-6.5
5400,-1.0
5401,-1.0
5402,-1.0
5405,-2.0
5406,-2.0
5407,-2.0
5421,-4.5
5430,-1.0
5431,-1.0
5436,-1.0
5441,-7.0
2212,-0.6666666666666666
3380,-0.3333333333333333
5103,0.0
5345,-2.6666666666666665
5363,-1.5333333333333334
5447,-10.0
5448,-4.5
5452,-1.0
5454,-10.0
5461,-10.0
5463,-5.0
5462,-5.0
5467,-2.0
5471,-6.833333333333333
5477,-5.5
4991,-5.0
5479,-4.142857142857143
5483,-3.6666666666666665
5484,-5.25
5485,-4.666666666666667
62,-0.7307692307692307
4598,-3.3333333333333335
5142,-2.6666666666666665
5480,-3.857142857142857
5490,-4.5
5501,-2.6666666666666665
5505,-4.333333333333333
5512,-3.6666666666666665
5488,-10.0
5532,-10.0
5533,-7.0
5544,-7.25
5546,-10.0
5547,-10.0
4693,0.0
5473,0.5
5553,-5.285714285714286
5561,-2.0
5574,-4.0
5575,-1.0
5576,-10.0
5599,-10.0
5554,-2.25
5610,-1.75
5611,-3.3333333333333335
5608,-2.2857142857142856
5638,-5.5
5639,-1.0
5640,-5.5
5641,-10.0
5654,-3.888888888888889
1991,-0.55
3444,-0.6
5631,-1.2
5686,-10.0
5698,-1.0
5709,-7.5
1154,-0.11764705882352941
3722,-0.5652173913043478
4065,-10.0
5446,-4.5
5609,-1.2857142857142858
5556,-2.6666666666666665
5718,-2.0
5719,-3.75
5730,-4.75
5731,-4.25
5732,-4.25
5733,-6.666666666666667
5736,-4.5
5737,-10.0
5738,-10.0
5742,-10.0
5743,-3.5
5746,-7.5
5750,-5.5
5754,-1.3333333333333333
5635,-2.6666666666666665
5729,4.166666666666667
5776,-10.0
5778,-1.0
5780,-1.0
5791,-10.0
5797,-1.0
5804,-10.0
5726,-1.5
5801,-5.75
5769,-1.0
5810,-1.0
5821,-1.0
5817,-1.0
5871,-10.0
5872,-10.0
5873,-10.0
5874,-10.0
5875,-10.0
5039,-2.0
5138,-1.0
5846,0.0
5887,-10.0
5898,-10.0
2911,-4.5
5901,-10.0
5914,-5.5
3178,-4.5
5549,-10.0
5905,-4.0
5650,-10.0
5016,1.5
5015,-0.5
5944,-10.0
5946,-1.0
5973,-10.0
5975,-10.0
5976,-10.0
5977,-10.0
5993,-10.0
3,-0.2857142857142857
5655,-0.16666666666666666
